Topic,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25
zomato is best food delivery app i enjoy my midnight with zomato really appreciate that team of zomato keep doing best app in india ❤️❤️,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
positive feedback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
order got delayed several minutes and finally received a call about cancellation and unfulfillment of the order ergo a cancellation with a full refund. what of my time wasted and me still being hungry late night. no compensation or a reasonable resolution. moving on to another brand. extremely unhappy!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
good job delivery is too fast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
have bad experience today have ordered 11:30 delivery boy saying he caught from police he doesn't have driving licence he saying and waited more 1:30 hours even customer support really bad the people die if we order from zomato.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fast delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
delivering food cold. that's the new zomato.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
best food delivery app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"worse platform for food delivery, avoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
there is no cod there is no online payment apps for the ease of the driver and the company which is frustrating for the customer for not having cash on delivery.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"bhai log, mera kahna mano, aaplog kabhi bhi zomato use mt karo, kuchh khane ka man ho, to aaplog bkinkit se saman mangwa lo, bna kr kha lo, jab khana delay hota hai, to payment pahle le leta hai, aur bewkuf banata hai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
the in app customer care is use less providing with all the proof that food is bad still they will not give refund food wastage and money wastage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"it's a good food delivery app with efficiency time management and availability of lots of restaurants, i have cut the one star because they offer an unusual price which makes it difficult to decide even if it's low price after selecting the item",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
late delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wrost service zomato . suddenly cancelled orders by zomato. to wrost customer executives resolution problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"very poor delivery experience. the order was delayed by over an hour, while the app kept showing misleading etas like “arriving in 13 minutes” and then suddenly marking it as delayed. the delivery partner was completing grouped deliveries, and my food kept getting delayed and cold. support confirmed the order was already 29 minutes late, and the eta kept changing. a small promo code doesn’t justify the frustration. zomato needs better eta accuracy and transparency.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
i like it but one problem food delivery late why that whyyyyyyyy i am 3 stars delivery boy cannot came 10 steps ahead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
absolutely pathetic servic. this app doesn't even let people to order for others who live in other locations. i live in kolkata and have ordered a birthday cake for my brother who lives in delhi. i put on the proper delivery address but the app could not get the correct delivery location. the delivery guy named vinod was also very unsupportive and was not coming to the proper address provided by me at the time of making the order. finally i was forced to cancel my order which i had paid already.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
the delivery was fast and food was clean and not disturbed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
